"City","Name","Category","Admission","Rating"
"Houston","Victory Plaza of Houston #1","Park","$35.50","4.9"
"Dallas","Discovery Gardens of Dallas #2","Historical Site","$9.18","4.1"
"San Antonio","Liberty Monument of San Antonio #3","Theme Park","$9.95","4.1"
"Fort Worth","Frontier Preserve of Fort Worth #4","Landmark","$6.49","4.5"
"El Paso","Grand Hall of El Paso #5","Nature","$23.97","5.0"
"Arlington","Heritage Center of Arlington #6","Museum","$10.15","4.9"
"Corpus Christi","Victory Plaza of Corpus Christi #7","Park","$28.79","4.9"
"Plano","Discovery Gardens of Plano #8","Historical Site","$13.44","4.5"
"Laredo","Liberty Monument of Laredo #9","Theme Park","$18.47","4.5"
"Lubbock","Frontier Preserve of Lubbock #10","Landmark","$13.17","4.7"
"Garland","Grand Hall of Garland #11","Nature","$29.05","4.8"
"Irving","Heritage Center of Irving #12","Museum","$38.14","4.9"
"Amarillo","Victory Plaza of Amarillo #13","Park","$0.89","4.9"
"Grand Prairie","Discovery Gardens of Grand Prairie #14","Historical Site","$27.56","4.9"
"Brownsville","Liberty Monument of Brownsville #15","Theme Park","$6.52","4.1"
"McKinney","Frontier Preserve of McKinney #16","Landmark","$43.25","4.6"
"Frisco","Grand Hall of Frisco #17","Nature","$6.34","4.1"
"Pasadena","Heritage Center of Pasadena #18","Museum","$43.97","4.3"
"Mesquite","Victory Plaza of Mesquite #19","Park","$13.84","4.4"
"Austin","Discovery Gardens of Austin #20","Historical Site","$6.00","4.6"
"Houston","Liberty Monument of Houston #21","Theme Park","$46.11","4.3"
"Dallas","Frontier Preserve of Dallas #22","Landmark","$2.92","5.0"
"San Antonio","Grand Hall of San Antonio #23","Nature","$27.16","4.7"
"Fort Worth","Heritage Center of Fort Worth #24","Museum","$33.79","4.3"
"El Paso","Victory Plaza of El Paso #25","Park","$19.09","5.0"
"Arlington","Discovery Gardens of Arlington #26","Historical Site","$1.54","4.4"
"Corpus Christi","Liberty Monument of Corpus Christi #27","Theme Park","$22.28","4.2"
"Plano","Frontier Preserve of Plano #28","Landmark","$49.24","4.0"
"Laredo","Grand Hall of Laredo #29","Nature","$16.80","4.8"
"Lubbock","Heritage Center of Lubbock #30","Museum","$30.71","4.5"
"Garland","Victory Plaza of Garland #31","Park","$26.22","4.5"
"Irving","Discovery Gardens of Irving #32","Historical Site","$20.29","4.0"
"Amarillo","Liberty Monument of Amarillo #33","Theme Park","$2.07","4.3"
"Grand Prairie","Frontier Preserve of Grand Prairie #34","Landmark","$25.14","4.1"
"Brownsville","Grand Hall of Brownsville #35","Nature","$23.71","4.0"
"McKinney","Heritage Center of McKinney #36","Museum","$32.25","4.1"
"Frisco","Victory Plaza of Frisco #37","Park","$37.78","4.4"
"Pasadena","Discovery Gardens of Pasadena #38","Historical Site","$17.95","4.2"
"Mesquite","Liberty Monument of Mesquite #39","Theme Park","$41.90","4.9"
"Austin","Frontier Preserve of Austin #40","Landmark","$18.53","4.0"
"Houston","Grand Hall of Houston #41","Nature","$41.77","4.9"
"Dallas","Heritage Center of Dallas #42","Museum","$28.66","4.3"
"San Antonio","Victory Plaza of San Antonio #43","Park","$43.80","4.1"
"Fort Worth","Discovery Gardens of Fort Worth #44","Historical Site","$15.86","4.3"
"El Paso","Liberty Monument of El Paso #45","Theme Park","$4.75","4.8"
"Arlington","Frontier Preserve of Arlington #46","Landmark","$46.52","4.6"
"Corpus Christi","Grand Hall of Corpus Christi #47","Nature","$17.34","4.8"
"Plano","Heritage Center of Plano #48","Museum","$47.94","4.2"
"Laredo","Victory Plaza of Laredo #49","Park","$8.24","5.0"
"Lubbock","Discovery Gardens of Lubbock #50","Historical Site","$24.05","4.6"
"Garland","Liberty Monument of Garland #51","Theme Park","$20.69","4.2"
"Irving","Frontier Preserve of Irving #52","Landmark","$31.99","4.7"
"Amarillo","Grand Hall of Amarillo #53","Nature","$16.02","5.0"
"Grand Prairie","Heritage Center of Grand Prairie #54","Museum","$48.21","4.8"
"Brownsville","Victory Plaza of Brownsville #55","Park","$48.33","4.4"
"McKinney","Discovery Gardens of McKinney #56","Historical Site","$33.91","4.4"
"Frisco","Liberty Monument of Frisco #57","Theme Park","$8.91","4.9"
"Pasadena","Frontier Preserve of Pasadena #58","Landmark","$17.19","4.3"
"Mesquite","Grand Hall of Mesquite #59","Nature","$17.97","4.3"
"Austin","Heritage Center of Austin #60","Museum","$38.13","4.8"
"Houston","Victory Plaza of Houston #61","Park","$34.72","4.8"
"Dallas","Discovery Gardens of Dallas #62","Historical Site","$24.88","4.7"
"San Antonio","Liberty Monument of San Antonio #63","Theme Park","$43.08","4.3"
"Fort Worth","Frontier Preserve of Fort Worth #64","Landmark","$14.73","4.3"
"El Paso","Grand Hall of El Paso #65","Nature","$7.89","4.5"
"Arlington","Heritage Center of Arlington #66","Museum","$19.36","4.2"
"Corpus Christi","Victory Plaza of Corpus Christi #67","Park","$38.41","4.7"
"Plano","Discovery Gardens of Plano #68","Historical Site","$11.35","4.0"
