"Origin","Destination","Airline","Flight_No","Price","Duration"
"LAX (Los Angeles)","Houston","American Airlines","TX1001","$290.40","3.2h"
"ORD (Chicago)","Dallas","United","TX1002","$395.40","4.8h"
"ATL (Atlanta)","San Antonio","Delta","TX1003","$554.10","4.5h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1004","$311.63","4.4h"
"JFK (New York)","El Paso","Southwest","TX1005","$595.41","3.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1006","$374.70","3.0h"
"ORD (Chicago)","Corpus Christi","United","TX1007","$476.91","3.2h"
"ATL (Atlanta)","Plano","Delta","TX1008","$330.04","2.4h"
"SFO (San Francisco)","Laredo","JetBlue","TX1009","$513.84","2.1h"
"JFK (New York)","Lubbock","Southwest","TX1010","$180.52","3.2h"
"LAX (Los Angeles)","Garland","American Airlines","TX1011","$265.27","4.0h"
"ORD (Chicago)","Irving","United","TX1012","$645.21","4.4h"
"ATL (Atlanta)","Amarillo","Delta","TX1013","$359.84","3.0h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1014","$540.39","2.8h"
"JFK (New York)","Brownsville","Southwest","TX1015","$304.14","2.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1016","$565.45","3.3h"
"ORD (Chicago)","Frisco","United","TX1017","$646.85","2.7h"
"ATL (Atlanta)","Pasadena","Delta","TX1018","$443.82","4.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1019","$335.93","3.2h"
"JFK (New York)","Austin","Southwest","TX1020","$193.52","2.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX1021","$281.55","4.4h"
"ORD (Chicago)","Dallas","United","TX1022","$265.52","4.3h"
"ATL (Atlanta)","San Antonio","Delta","TX1023","$626.99","3.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1024","$256.65","2.1h"
"JFK (New York)","El Paso","Southwest","TX1025","$352.68","4.2h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1026","$227.90","2.6h"
"ORD (Chicago)","Corpus Christi","United","TX1027","$605.68","3.2h"
"ATL (Atlanta)","Plano","Delta","TX1028","$184.08","4.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX1029","$243.79","4.4h"
"JFK (New York)","Lubbock","Southwest","TX1030","$160.51","3.1h"
"LAX (Los Angeles)","Garland","American Airlines","TX1031","$500.54","3.2h"
