"City","Name","Category","Rate","Amenities"
"Houston","Cactus Resort Houston #1","Budget","$210/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #2","Boutique","$187/night","Spa, Bar"
"San Antonio","River Manor San Antonio #3","Ranch","$296/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #4","Suites","$416/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #5","Inn","$467/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #6","Luxury","$163/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #7","Budget","$188/night","Parking, Pets"
"Plano","Saddle Lodge Plano #8","Boutique","$465/night","Pool, WiFi"
"Laredo","River Manor Laredo #9","Ranch","$103/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #10","Suites","$390/night","Spa, Bar"
"Garland","Crest Suites Garland #11","Inn","$220/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #12","Luxury","$248/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #13","Budget","$394/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #14","Boutique","$259/night","Spa, Bar"
"Brownsville","River Manor Brownsville #15","Ranch","$146/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #16","Suites","$207/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #17","Inn","$233/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #18","Luxury","$342/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #19","Budget","$142/night","Parking, Pets"
"Austin","Saddle Lodge Austin #20","Boutique","$178/night","Pool, WiFi"
"Houston","River Manor Houston #21","Ranch","$373/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #22","Suites","$422/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #23","Inn","$428/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #24","Luxury","$204/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #25","Budget","$216/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #26","Boutique","$199/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #27","Ranch","$351/night","Parking, Pets"
"Plano","Star Courtyard Plano #28","Suites","$312/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #29","Inn","$190/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #30","Luxury","$284/night","Spa, Bar"
"Garland","Cactus Resort Garland #31","Budget","$272/night","Parking, Pets"
"Irving","Saddle Lodge Irving #32","Boutique","$346/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #33","Ranch","$220/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #34","Suites","$100/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #35","Inn","$125/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #36","Luxury","$387/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #37","Budget","$371/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #38","Boutique","$83/night","Spa, Bar"
"Mesquite","River Manor Mesquite #39","Ranch","$345/night","Parking, Pets"
"Austin","Star Courtyard Austin #40","Suites","$328/night","Pool, WiFi"
"Houston","Crest Suites Houston #41","Inn","$309/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #42","Luxury","$181/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #43","Budget","$191/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #44","Boutique","$299/night","Pool, WiFi"
"El Paso","River Manor El Paso #45","Ranch","$292/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #46","Suites","$386/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #47","Inn","$141/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #48","Luxury","$295/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #49","Budget","$207/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #50","Boutique","$272/night","Spa, Bar"
"Garland","River Manor Garland #51","Ranch","$376/night","Parking, Pets"
"Irving","Star Courtyard Irving #52","Suites","$430/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #53","Inn","$311/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #54","Luxury","$322/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #55","Budget","$239/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #56","Boutique","$177/night","Pool, WiFi"
"Frisco","River Manor Frisco #57","Ranch","$361/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #58","Suites","$411/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #59","Inn","$181/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #60","Luxury","$121/night","Pool, WiFi"
"Houston","Cactus Resort Houston #61","Budget","$452/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #62","Boutique","$408/night","Spa, Bar"
"San Antonio","River Manor San Antonio #63","Ranch","$411/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #64","Suites","$190/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #65","Inn","$308/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #66","Luxury","$444/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #67","Budget","$300/night","Parking, Pets"
"Plano","Saddle Lodge Plano #68","Boutique","$113/night","Pool, WiFi"
"Laredo","River Manor Laredo #69","Ranch","$445/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #70","Suites","$431/night","Spa, Bar"
"Garland","Crest Suites Garland #71","Inn","$230/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #72","Luxury","$104/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #73","Budget","$115/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #74","Boutique","$86/night","Spa, Bar"
"Brownsville","River Manor Brownsville #75","Ranch","$446/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #76","Suites","$221/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #77","Inn","$416/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #78","Luxury","$187/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #79","Budget","$461/night","Parking, Pets"
"Austin","Saddle Lodge Austin #80","Boutique","$192/night","Pool, WiFi"
"Houston","River Manor Houston #81","Ranch","$357/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #82","Suites","$205/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #83","Inn","$113/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #84","Luxury","$125/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #85","Budget","$161/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #86","Boutique","$226/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #87","Ranch","$382/night","Parking, Pets"
"Plano","Star Courtyard Plano #88","Suites","$378/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #89","Inn","$188/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #90","Luxury","$329/night","Spa, Bar"
"Garland","Cactus Resort Garland #91","Budget","$276/night","Parking, Pets"
"Irving","Saddle Lodge Irving #92","Boutique","$394/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #93","Ranch","$185/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #94","Suites","$429/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #95","Inn","$132/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #96","Luxury","$366/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #97","Budget","$122/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #98","Boutique","$112/night","Spa, Bar"
"Mesquite","River Manor Mesquite #99","Ranch","$334/night","Parking, Pets"
"Austin","Star Courtyard Austin #100","Suites","$146/night","Pool, WiFi"
"Houston","Crest Suites Houston #101","Inn","$239/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #102","Luxury","$311/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #103","Budget","$440/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #104","Boutique","$310/night","Pool, WiFi"
