"City","Name","Category","Price","Rating"
"Houston","Big Tex Grill of Houston #1","Tex-Mex","$$","4.0"
"Dallas","Blue Bonnet Kitchen of Dallas #2","Steakhouse","$$$","3.8"
"San Antonio","Yellow Rose Taqueria of San Antonio #3","Seafood","$$$$","4.0"
"Fort Worth","Alamo Smokehouse of Fort Worth #4","Southern","$","4.8"
"El Paso","Pecos Table of El Paso #5","Bistro","$$","3.8"
"Arlington","Lone Star Pit of Arlington #6","BBQ","$$$","4.6"
"Corpus Christi","Big Tex Grill of Corpus Christi #7","Tex-Mex","$$$$","4.9"
"Plano","Blue Bonnet Kitchen of Plano #8","Steakhouse","$","4.8"
"Laredo","Yellow Rose Taqueria of Laredo #9","Seafood","$$","4.4"
"Lubbock","Alamo Smokehouse of Lubbock #10","Southern","$$$","4.4"
"Garland","Pecos Table of Garland #11","Bistro","$$$$","4.3"
"Irving","Lone Star Pit of Irving #12","BBQ","$","4.9"
"Amarillo","Big Tex Grill of Amarillo #13","Tex-Mex","$$","4.8"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #14","Steakhouse","$$$","3.9"
"Brownsville","Yellow Rose Taqueria of Brownsville #15","Seafood","$$$$","4.9"
"McKinney","Alamo Smokehouse of McKinney #16","Southern","$","4.9"
"Frisco","Pecos Table of Frisco #17","Bistro","$$","4.3"
"Pasadena","Lone Star Pit of Pasadena #18","BBQ","$$$","4.6"
"Mesquite","Big Tex Grill of Mesquite #19","Tex-Mex","$$$$","4.8"
"Austin","Blue Bonnet Kitchen of Austin #20","Steakhouse","$","3.9"
"Houston","Yellow Rose Taqueria of Houston #21","Seafood","$$","4.5"
"Dallas","Alamo Smokehouse of Dallas #22","Southern","$$$","4.1"
"San Antonio","Pecos Table of San Antonio #23","Bistro","$$$$","3.9"
"Fort Worth","Lone Star Pit of Fort Worth #24","BBQ","$","3.6"
"El Paso","Big Tex Grill of El Paso #25","Tex-Mex","$$","4.0"
"Arlington","Blue Bonnet Kitchen of Arlington #26","Steakhouse","$$$","5.0"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #27","Seafood","$$$$","4.5"
"Plano","Alamo Smokehouse of Plano #28","Southern","$","4.8"
"Laredo","Pecos Table of Laredo #29","Bistro","$$","4.8"
"Lubbock","Lone Star Pit of Lubbock #30","BBQ","$$$","4.2"
"Garland","Big Tex Grill of Garland #31","Tex-Mex","$$$$","4.4"
"Irving","Blue Bonnet Kitchen of Irving #32","Steakhouse","$","4.2"
"Amarillo","Yellow Rose Taqueria of Amarillo #33","Seafood","$$","4.4"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #34","Southern","$$$","3.9"
"Brownsville","Pecos Table of Brownsville #35","Bistro","$$$$","4.7"
"McKinney","Lone Star Pit of McKinney #36","BBQ","$","4.6"
"Frisco","Big Tex Grill of Frisco #37","Tex-Mex","$$","4.2"
"Pasadena","Blue Bonnet Kitchen of Pasadena #38","Steakhouse","$$$","4.5"
"Mesquite","Yellow Rose Taqueria of Mesquite #39","Seafood","$$$$","4.3"
"Austin","Alamo Smokehouse of Austin #40","Southern","$","4.8"
"Houston","Pecos Table of Houston #41","Bistro","$$","4.6"
"Dallas","Lone Star Pit of Dallas #42","BBQ","$$$","3.7"
"San Antonio","Big Tex Grill of San Antonio #43","Tex-Mex","$$$$","4.0"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #44","Steakhouse","$","3.6"
